,id,nom,commune,isActive,latitude,longitude,cityRank,code_commune
3346,7685,République,"{'codeCommune': '38518', 'nom': 'Valbonnais', 'availableForSeniors': False}",True,44.9003422,5.9061941,1.0,38518
3347,7686,Ecoles,"{'codeCommune': '38518', 'nom': 'Valbonnais', 'availableForSeniors': False}",True,44.9002282,5.9083131,2.0,38518
3348,7682,La Valette - le Haut,"{'codeCommune': '38521', 'nom': 'La Valette', 'availableForSeniors': False}",True,44.9411946,5.8539071,1.0,38521
3349,6772,Rond-Point de l'Europe,"{'codeCommune': '38524', 'nom': 'Varces-Allières-et-Risset', 'availableForSeniors': False}",True,45.093913,5.683891,,38524
3350,3730,Rond-Point de l'Europe,"{'codeCommune': '38524', 'nom': 'Varces-Allières-et-Risset', 'availableForSeniors': False}",True,45.0938014,5.6829266,,38524
3351,3731,L'Oriel,"{'codeCommune': '38524', 'nom': 'Varces-Allières-et-Risset', 'availableForSeniors': False}",True,45.0885049,5.6836348,,38524
3352,3709,Belmont,"{'codeCommune': '38529', 'nom': 'Vaulnaveys-le-Haut', 'availableForSeniors': False}",True,45.119833,5.828378,,38529
3353,3710,Belmont,"{'codeCommune': '38529', 'nom': 'Vaulnaveys-le-Haut', 'availableForSeniors': False}",True,45.119924,5.828525,,38529
3354,3711,Centre-bourg 1,"{'codeCommune': '38529', 'nom': 'Vaulnaveys-le-Haut', 'availableForSeniors': False}",True,45.119138,5.810816,,38529
3355,3712,Centre-bourg 2,"{'codeCommune': '38529', 'nom': 'Vaulnaveys-le-Haut', 'availableForSeniors': False}",True,45.118734,5.810865,,38529
3356,3713,Jules Bruand 1,"{'codeCommune': '38529', 'nom': 'Vaulnaveys-le-Haut', 'availableForSeniors': False}",True,45.121269,5.813794,,38529
3357,3714,Jules Bruand 2,"{'codeCommune': '38529', 'nom': 'Vaulnaveys-le-Haut', 'availableForSeniors': False}",True,45.120952,5.813492,,38529
3358,3716,Les Alberges 1,"{'codeCommune': '38529', 'nom': 'Vaulnaveys-le-Haut', 'availableForSeniors': False}",True,45.131283,5.818142,,38529
3359,3717,Les Alberges 2,"{'codeCommune': '38529', 'nom': 'Vaulnaveys-le-Haut', 'availableForSeniors': False}",True,45.130937,5.818637,,38529
3360,3720,Marchandise 1,"{'codeCommune': '38529', 'nom': 'Vaulnaveys-le-Haut', 'availableForSeniors': False}",True,45.115577,5.808391,,38529
3361,3721,Marchandise 2,"{'codeCommune': '38529', 'nom': 'Vaulnaveys-le-Haut', 'availableForSeniors': False}",True,45.115058,5.807992,,38529
3362,3722,Tuilerie 1,"{'codeCommune': '38529', 'nom': 'Vaulnaveys-le-Haut', 'availableForSeniors': False}",True,45.136737,5.824732,,38529
3363,3723,Tuilerie 2,"{'codeCommune': '38529', 'nom': 'Vaulnaveys-le-Haut', 'availableForSeniors': False}",True,45.136432,5.824772,,38529
3364,3724,Les Roux,"{'codeCommune': '38529', 'nom': 'Vaulnaveys-le-Haut', 'availableForSeniors': False}",True,45.128984,5.826395,,38529
3365,3725,Les Guichards 1,"{'codeCommune': '38529', 'nom': 'Vaulnaveys-le-Haut', 'availableForSeniors': False}",True,45.1257375,5.817001,,38529
3366,3726,Les Guichards 2,"{'codeCommune': '38529', 'nom': 'Vaulnaveys-le-Haut', 'availableForSeniors': False}",True,45.127582,5.816761,,38529
3367,3732,Les Alberges 3,"{'codeCommune': '38529', 'nom': 'Vaulnaveys-le-Haut', 'availableForSeniors': False}",True,45.13081,5.818819,,38529
3368,9521,Chapon,"{'codeCommune': '38533', 'nom': 'Venon', 'availableForSeniors': False}",True,45.170966,5.822215,,38533
3369,9522,La Faurie Sous les Vignes,"{'codeCommune': '38533', 'nom': 'Venon', 'availableForSeniors': False}",True,45.175251,5.794951,,38533
3370,9523,Mairie,"{'codeCommune': '38533', 'nom': 'Venon', 'availableForSeniors': False}",True,45.171801,5.804769,,38533
3371,9525,La Faurie La Frênaie,"{'codeCommune': '38533', 'nom': 'Venon', 'availableForSeniors': False}",True,45.173341,5.795113,,38533
3372,13679,Pré Bousson,"{'codeCommune': '38533', 'nom': 'Venon', 'availableForSeniors': False}",True,45.1712331,5.8065426,,38533
3373,2718,Stade Agud,"{'codeCommune': '38538', 'nom': 'Le Versoud', 'availableForSeniors': False}",True,45.220692,5.861692,,38538
3374,2719,Aérodrome,"{'codeCommune': '38538', 'nom': 'Le Versoud', 'availableForSeniors': False}",True,45.21532,5.850353,,38538
3375,2720,Rond point st Exupéry,"{'codeCommune': '38538', 'nom': 'Le Versoud', 'availableForSeniors': False}",True,45.215048,5.855369,,38538
3376,2721,ZA Malvaisin,"{'codeCommune': '38538', 'nom': 'Le Versoud', 'availableForSeniors': False}",True,45.209258,5.852462,,38538
3377,2722,Casino,"{'codeCommune': '38538', 'nom': 'Le Versoud', 'availableForSeniors': False}",True,45.212947,5.858919,,38538
3378,2724,La Place,"{'codeCommune': '38538', 'nom': 'Le Versoud', 'availableForSeniors': False}",True,45.215573,5.862388,,38538
3379,2725,Belle Plaine,"{'codeCommune': '38538', 'nom': 'Le Versoud', 'availableForSeniors': False}",True,45.222604,5.86998,,38538
3380,2726,Belle Plaine,"{'codeCommune': '38538', 'nom': 'Le Versoud', 'availableForSeniors': False}",True,45.219845,5.866814,,38538
3381,2727,Lamartine,"{'codeCommune': '38538', 'nom': 'Le Versoud', 'availableForSeniors': False}",True,45.224226,5.876175,,38538
3382,2728,Pruney,"{'codeCommune': '38538', 'nom': 'Le Versoud', 'availableForSeniors': False}",True,45.229865,5.877619,,38538
3383,2729,Place Jean Moulin,"{'codeCommune': '38538', 'nom': 'Le Versoud', 'availableForSeniors': False}",True,45.226729,5.876214,,38538
3384,2730,Grande Ile,"{'codeCommune': '38538', 'nom': 'Le Versoud', 'availableForSeniors': False}",True,45.23128,5.871034,,38538
3385,4735,Gare de Brignoud,"{'codeCommune': '38547', 'nom': 'Villard-Bonnot', 'availableForSeniors': False}",True,45.262706,5.902252,,38547
3386,4736,Fredet,"{'codeCommune': '38547', 'nom': 'Villard-Bonnot', 'availableForSeniors': False}",True,45.257892,5.91045,,38547
3387,4737,Carrefour Brignoud,"{'codeCommune': '38547', 'nom': 'Villard-Bonnot', 'availableForSeniors': False}",True,45.258211,5.9082016,,38547
3388,4738,Lycée,"{'codeCommune': '38547', 'nom': 'Villard-Bonnot', 'availableForSeniors': False}",True,45.25078,5.900044,,38547
3389,4739,Lycée,"{'codeCommune': '38547', 'nom': 'Villard-Bonnot', 'availableForSeniors': False}",True,45.251057,5.900503,,38547
3390,4740,Collège,"{'codeCommune': '38547', 'nom': 'Villard-Bonnot', 'availableForSeniors': False}",True,45.246205,5.896206,,38547
3391,4741,Eglise,"{'codeCommune': '38547', 'nom': 'Villard-Bonnot', 'availableForSeniors': False}",True,45.240979,5.89089,,38547
3392,4742,Mairie,"{'codeCommune': '38547', 'nom': 'Villard-Bonnot', 'availableForSeniors': False}",True,45.238554,5.888566,,38547
3393,4743,Gare de Lancey,"{'codeCommune': '38547', 'nom': 'Villard-Bonnot', 'availableForSeniors': False}",True,45.235052,5.880779,,38547
3394,4744,Aristide Berges,"{'codeCommune': '38547', 'nom': 'Villard-Bonnot', 'availableForSeniors': False}",True,45.233835,5.882403,,38547
3395,4745,Papeteries,"{'codeCommune': '38547', 'nom': 'Villard-Bonnot', 'availableForSeniors': False}",True,45.233745,5.882899,,38547
3396,3774,Villard Centre (Panneau lumineux),"{'codeCommune': '38548', 'nom': 'Villard-de-Lans', 'availableForSeniors': False}",True,45.0736896,5.5541092,1.0,38548
3397,3719,La Locomotive,"{'codeCommune': '38562', 'nom': 'Vizille', 'availableForSeniors': False}",True,45.0759431,5.774243,,38562
3398,2214,Saint Bruno,"{'codeCommune': '38563', 'nom': 'Voiron', 'availableForSeniors': False}",True,45.3675297,5.5915032,,38563
3399,2215,Gambetta,"{'codeCommune': '38563', 'nom': 'Voiron', 'availableForSeniors': False}",True,45.3666557,5.5957646,,38563
3400,2216,Les Marches,"{'codeCommune': '38563', 'nom': 'Voiron', 'availableForSeniors': False}",True,45.364908,5.59949,,38563
3401,2217,Mairie,"{'codeCommune': '38563', 'nom': 'Voiron', 'availableForSeniors': False}",True,45.3625283,5.590683,,38563
3402,2218,Caserne,"{'codeCommune': '38563', 'nom': 'Voiron', 'availableForSeniors': False}",True,45.360106,5.593496,,38563
3403,2220,Guillon,"{'codeCommune': '38563', 'nom': 'Voiron', 'availableForSeniors': False}",True,45.3629878,5.5989413,,38563
3404,2286,Centre-ville - quai des Chartreux,"{'codeCommune': '38565', 'nom': 'Voreppe', 'availableForSeniors': False}",True,45.29811,5.63674,,38565
3405,2287,Centre-ville – vers Moirans/Voiron,"{'codeCommune': '38565', 'nom': 'Voreppe', 'availableForSeniors': False}",True,45.29812,5.63623,,38565
3406,2288,Chaufferie bois,"{'codeCommune': '38565', 'nom': 'Voreppe', 'availableForSeniors': False}",True,45.29083,5.63518,,38565
3407,2290,L'Arrosoir,"{'codeCommune': '38565', 'nom': 'Voreppe', 'availableForSeniors': False}",True,45.2917,5.63497,,38565
3408,2291,Avenue Honoré de Balzac – direction centre-ville,"{'codeCommune': '38565', 'nom': 'Voreppe', 'availableForSeniors': False}",True,45.29209,5.63995,,38565
3409,2295,Avenue Honoré de Balzac direction Grenoble,"{'codeCommune': '38565', 'nom': 'Voreppe', 'availableForSeniors': False}",True,45.29193,5.63982,,38565
3410,2296,Avenue 11 novembre - gymnase Pigneguy,"{'codeCommune': '38565', 'nom': 'Voreppe', 'availableForSeniors': False}",True,45.2863,5.64335,,38565
3411,2297,Avenue 11 novembre direction Grenoble,"{'codeCommune': '38565', 'nom': 'Voreppe', 'availableForSeniors': False}",True,45.28665,5.64285,,38565
3412,2298,Avenue 11 novembre - le Chevalon (nord),"{'codeCommune': '38565', 'nom': 'Voreppe', 'availableForSeniors': False}",True,45.27826,5.64806,,38565
3413,2299,Avenue 11 novembre - le Chevalon (sud),"{'codeCommune': '38565', 'nom': 'Voreppe', 'availableForSeniors': False}",True,45.27814,5.64787,,38565
3414,2420,vourey Le grand chemin,"{'codeCommune': '38566', 'nom': 'Vourey', 'availableForSeniors': False}",True,45.3209172,5.5278057,1.0,38566
3415,5488,Vourey - Le Grand Chemin,"{'codeCommune': '38566', 'nom': 'Vourey', 'availableForSeniors': False}",True,45.319364,5.522249,2.0,38566
3416,5466,Auberge du Virage,"{'codeCommune': '38567', 'nom': 'Chamrousse', 'availableForSeniors': False}",True,45.125449,5.875591,,38567
3417,5467,Maison de l'environnement,"{'codeCommune': '38567', 'nom': 'Chamrousse', 'availableForSeniors': False}",True,45.123935,5.877565,,38567
3418,5468,Mairie,"{'codeCommune': '38567', 'nom': 'Chamrousse', 'availableForSeniors': False}",True,45.111156,5.874733,,38567
3419,5469,L'Arselle,"{'codeCommune': '38567', 'nom': 'Chamrousse', 'availableForSeniors': False}",True,45.099554,5.867674,,38567
3420,7348,Abergement le Grand-1,"{'codeCommune': '39002', 'nom': 'Abergement-le-Grand', 'availableForSeniors': False}",True,46.9137352,5.6817388,1.0,39002
3421,8168,Abergement-le-Petit-1,"{'codeCommune': '39003', 'nom': 'Abergement-le-Petit', 'availableForSeniors': False}",True,46.902552,5.6964,,39003
3422,8169,Abergement-lès-Thésy-1,"{'codeCommune': '39004', 'nom': 'Abergement-lès-Thésy', 'availableForSeniors': False}",True,46.9174435,5.9401107,1.0,39004
